Episode Number,Episode Title,Air Date,Short Summary,Long Summary,Characters,Fruits
Episode 1,I'm Luffy! The Man Who Will Become the Pirate King!,20-Oct-99,"Luffy is found floating at sea by a cruise ship. After repelling an invasion by the Alvida Pirates, he meets a new ally, their chore boy Koby.","Luffy is cast at sea in a barrel. Sailors on a passing cruise ship retrieve the barrel, but the ship is attacked with cannon fire by a nearby pirate ship, led by Alvida. The barrel is sent rolling into the kitchen. Once the cruise ship's sails have been destroyed, the Alvida Pirates board the ship to plunder its goods, and Alvida also forces one of her chore boys, Koby, to board the ship. Meanwhile, a girl takes advantage of the opportunity and sneaks aboard the Alvida Pirates' ship to steal its treasures.
Koby and other pirates notice the barrel in the kitchen and find Luffy inside, who was sleeping. After Luffy defeats the hostile pirates, he goes with Koby to the pantry to eat the stored food. Luffy explains that he set sail to begin his pirating career, but his dinghy was destroyed by a whirlpool and he was left trapped at sea in a barrel. Koby explains that he was riding on a rowboat, but was kidnapped by the Alvida Pirates and forced to become a chore boy. He explains his desires to escape the Alvida Pirates some day and join the Marines.
Alvida is informed of Luffy's presence, and, out of suspicion that he could be a bounty hunter, confronts him and Koby in the pantry. This triggers a battle on the ship, but Luffy defeats the pirates. Although Alvida is armed with a large spiked club, her attacks are rendered ineffective, as Luffy ate a Devil Fruit, granting him a superhuman ability that gives his body rubber-like properties. Using a Gomu Gomu no Pistol attack, Luffy defeats Alvida, sending her flying off the ship and into the sea.
Having concluded the battle, Luffy boards a dinghy with Koby to continue his travels, catching a glimpse of the female burglar who was also departing the ship on her own dinghy. Luffy aims towards the Grand Line to search for the One Piece treasure but first looks to recruit the infamous Pirate Hunter Roronoa Zoro into his crew.","Nami, Alvida, Koby, Heppoko, Peppoko, Poppoko, Monkey D. Luffy, Roronoa Zoro",
Episode 2,The Great Swordsman Appears! Pirate Hunter Roronoa Zoro,17-Nov-99,"Luffy and Koby find Zoro captured in Shells Town's Marine base, with the Marines intending to execute him. Luffy and Koby work together to retrieve Zoro's katanas, as well as confront the tyrannical Marine Captain Morgan and his son Helmeppo.","Luffy and Koby arrive at Shells Town, a town where a Marine base is stationed. They find their target, Roronoa Zoro, crucified at the base. A small girl, Rika, sneaks into the base to offer Zoro onigiri, but she is stopped by Helmeppo, a snobbish man who destroys the onigiri. However, Zoro later eats the dirt-stained rice.
Outside the Marine base, Rika reveals that the town was run by a tyrannical Captain Morgan, who allowed his son, Helmeppo, to regularly abuse his citizens. One day, Helmeppo brought a hostile wolf into a bar which attacked the customers and ate their food. When Zoro attacked Helmeppo for his cruelty, Helmeppo threatened to execute all customers in the bar unless Zoro turned himself into the Marines, where he would be crucified for one month.
Later, Helmeppo reveals that he intended to execute Zoro, violating the deal he had struck with him. Luffy assaults him for his dishonesty, then heads towards the Marine base to locate Zoro's confiscated katanas. As Morgan orders his men to erect a large statue of himself on the base's rooftop, Luffy launches himself towards the rooftop, accidentally destroying the statue in the process. Luffy grabs Helmeppo and flees, searching the building and locating the katanas. Meanwhile, the girl who robbed the Alvida Pirates' ship also infiltrates the Marine base to steal its goods.
Meanwhile, Koby attempts to free Zoro from the cross, but is spotted by Morgan, who orders his men to open fire on them both. They are stopped by Luffy, who deflects the bullets with his rubber body.","Monkey D. Luffy, Koby, Roronoa Zoro, Rika, Helmeppo, Soro, Ririka, Nami, Morgan, Kuina (flashback), Rokkaku, Ukkari",
Episode 3,Morgan vs. Luffy! Who's This Mysterious Beautiful Young Girl?,24-Nov-99,"Luffy and Zoro battle and defeat Morgan, Helmeppo and the Marines. Koby parts ways with Luffy to join the Marines, and Zoro joins Luffy's crew as a permanent crew member.","Luffy returns the katana to Zoro, who uses them to free himself and repel the Marines' attacks. He agrees to join Luffy's crew should he survive. Despite being clearly overpowered by Luffy's Devil Fruit power and Zoro's Three Sword Style, Morgan orders his men to attack them.
Morgan himself joins the battle, with his right hand being replaced by an axe blade. Despite Luffy overpowering Morgan, Helmeppo holds Koby hostage, threatening to shoot him. Meanwhile, as Luffy is distracted, Morgan attempts to attack him from behind. Luffy punches Helmeppo in the face and Zoro cuts Morgan down, preventing him from harming Luffy. The Marines, who were aware of Morgan's numerous abuses of power, decide not to continue the battle, instead dishonorably discharging and arresting their own captain.
Luffy, Zoro and Koby go to a restaurant to celebrate their victory. Koby explains how the world is divided. The world is divided into west and east by a continent called the Red Line, and the Grand Line is a linear sea perpendicular to the Red Line. Legendary pirate Gold Roger claimed he had hidden his treasure at the very end of the Grand Line.
Ripper, the Marine who had succeeded Morgan as the new base commander, confronts Luffy. He agrees to accept Koby into the Marines upon his request. However, due to Luffy and Zoro's statuses as pirates, he orders them both to leave the town, only promising not to inform headquarters as a gesture of gratitude. Luffy and Zoro agree, and they both continue their travels.
Meanwhile, a girl searches the Marine base for a map of the Grand Line. She discovers that the map had been stolen by another pirate, Buggy. She sets sail to confront Buggy and retrieve his map.","Roronoa Zoro, Monkey D. Luffy, Morgan, Koby, Helmeppo, Nami, Buggy (shadowed), Rika, Ririka, Gol D. Roger (shadowed), Ripper, Shanks (shadowed)",
Episode 4,Luffy's Past! The Red-Haired Shanks Appears,8-Dec-99,"The significance of Luffy's straw hat is explained as the hat was entrusted to him by his idol, Shanks. Luffy then accidentally finds himself in Orange Town, territory of the pirate Buggy.","The burglar girl's dinghy is discovered by three Buggy Pirates while at sea. Pretending to be a desperate, stranded woman, she lures the pirates on her boat with promises of treasure. However, she secretly boards the Buggy Pirates' boat and sails away from them without their knowledge. The ship the pirates are on capsizes from a windstorm.
Meanwhile, Luffy and Zoro sail towards their next destination, but Luffy loses his signature straw hat when the boat jostles. Zoro recovers the hat, and its significance to Luffy is explained.
In his childhood, Luffy befriended Shanks, a pirate captain residing in his home village. While Luffy and the Red Hair Pirates were at a bar, Luffy unknowingly ate the Gomu Gomu no Mi, a Devil Fruit Shanks had acquired during his travels. Upon eating the fruit, Luffy's body immediately gained rubber-like properties, but he had permanently lost the ability to swim.
However, Luffy was terrorized and threatened by Higuma and his group of mountain bandits. Although Shanks and his pirates came to his aid, Higuma escaped, abducting Luffy. Higuma sailed out to sea on a small rowboat and threw Luffy into the sea for him to drown. However, a Sea King, a carnivorous sea monster, appeared and devoured Higuma whole, threatening to target Luffy next. Shanks rescued Luffy, but he lost his left arm in the process.
Eventually, the Red Hair Pirates departed from Foosha Village and set sail for the Grand Line. Just before he left, Shanks entrusted Luffy with his straw hat for him to protect. Throughout the years, Luffy cherished his hat to remind him of his idol.
Back to the present day, Luffy is abducted by a bird and sent flying away. The Buggy Pirates who were left stranded in the sea discover Zoro's rowboat, board it, and attempt to hijack it, but are swiftly defeated by him. The Buggy Pirates explain that Buggy is a fearsome pirate with his own Devil Fruit ability.
Meanwhile, the bird lets go of Luffy after being shot down by cannon fire, causing Luffy to fall into Buggy's territory. He meets the female thief for the first time, who had stolen the map and was being pursued by Buggy Pirates.","Tightrope Walking Funan Bros, Nami, Monkey D. Luffy, Roronoa Zoro, Shanks (flashback), Lucky Roux (flashback), Benn Beckman (flashback), Yasopp (flashback), Limejuice (flashback), Building Snake (flashback), Makino (flashback), Higuma (flashback), Bonk Punch (flashback), Woop Slap (flashback), Lord of the Coast (flashback), Pinky, Superhuman Domingos, Buggy",Gomu Gomu no Mi
Episode 5,"Fear, Mysterious Power! Pirate Clown Captain Buggy!",15-Dec-99,"Luffy, Nami, and Zoro confront Buggy the Clown. Buggy threatens to fire a Buggy Ball at Luffy, but this attack is redirected back at his men.","The girl introduces herself as Nami, a thief targeting and stealing from pirates. After collaborating with Luffy to escape from the Buggy Pirates, they find refuge at a restaurant, where Nami reveals her goal of collecting 100 million Berries for an unknown cause. She then goes on and reveals her navigation skills.
Nami betrays Luffy, tying him up and handing him over to the Buggy Pirates as a gesture of good will. Buggy accepts, locks Luffy into a cage, and prepares a Buggy Ball, a powerful, explosive cannonball. Buggy's pirates fire the cannon into the distance, destroying an entire row of houses. Zoro, who has just arrived at the town, notices the explosion.
Buggy then orders Nami to fire a Buggy Ball at Luffy, but she refuses to do so. Another pirate lights the cannon's fuse for her, but Nami extinguishes the fuse with her bare hands, burning herself. Buggy orders his pirates to attack her.
Zoro arrives at her aid and attacks Buggy, cutting off his hand and leg. However, Buggy's dismembered hand stabs Zoro from behind, then reattaches itself to Buggy's arm. He reveals that he ate the Bara Bara no Mi, allowing him to split himself into pieces, control them, and reattach them. Despite this, Zoro runs to the cannon, readjusts it to aim at the Buggy Pirates, and allows Nami to reignite the fuse, firing the cannon.","Nami, Superhuman Domingos, Pinky, Monkey D. Luffy, Buggy, Roronoa Zoro, Tightrope Walking Funan Bros, Acrobatic Fuwas",Bara Bara no Mi
Episode 6,Desperate Situation! Beast Tamer Mohji vs. Luffy!,29-Dec-99,"Luffy defends himself from Buggy's assassin, Beast Tamer Mohji and his lion Richie. Allying himself with the town's mayor as well as a dog, the Straw Hats return to Buggy's base to confront him.","Having warded off the Buggy Pirates, a wounded Zoro drags Luffy's cage to a local pet food shop. The mayor appears and takes Zoro into his house to nurse his wounds. Meanwhile, Luffy interacts with Chouchou, a dog defending the shop. The mayor explains that Chouchou's owner passed away from illness, so he continues to defend the deceased owner's store as a memento. Although Nami arrives with the key to Luffy's cage, Chouchou eats the key before the cage could be unlocked.
Buggy sends his first mate, Mohji the Beast Tamer, to search for and eliminate Zoro. Riding his lion Richie, he finds Luffy still trapped in the cage. Mohji orders Richie to attack Luffy, inadvertently destroying his cage and setting him free. He then strikes Luffy into a house, destroying it.
Richie raids the store for food and burns it to the ground as Chouchou fights in vain to defend the store. After seeing Mohji's actions, Luffy came to Chouchou's aid, defeating both Richie and Mohji before giving the dog a single box of pet food salvaged from the fire.
Mohji returns to Buggy to report his defeat. As an act of vengeance, Buggy fires a Buggy Ball into the town, destroying the mayor's house with Zoro still in it. Although Zoro was fortunately unharmed by the blast, the mayor decides to stand up to Buggy for his callous invasion of the town. Nami agrees to temporarily join forces with Luffy and Zoro and assist Boodle in confronting Buggy.","Buggy, Nami, Monkey D. Luffy, Roronoa Zoro, Richie, Mohji, Chouchou, Boodle, Hocker (flashback)",
Episode 7,Grand Duel! Zoro the Swordsman vs. Cabaji the Acrobat!,29-Dec-99,"Zoro takes on Buggy's acrobat and chief of staff, Cabaji, engaging in a one-on-one sword fight. After Zoro emerges victorious, Luffy battles against Buggy, where his straw hat is damaged by Buggy's attacks.","Luffy knocks Boodle unconscious to prevent him from injuring himself further in battle. Buggy fires a Buggy Ball at the group, but Luffy deflects the cannonball using his rubber body, firing the projectile back at the Buggy Pirates. Buggy's men are decimated by the attack, save for Buggy himself, who had used his subordinates as human shields, and his chief of staff and acrobat, Cabaji, who had used Richie as a shield. Cabaji offers to battle the group on Buggy's behalf, and Zoro decides to duel him one-on-one.
At the start of the battle, Cabaji uses dirty tricks to give himself an advantage, aiming for Zoro's stab wound. He also rides on his unicycle to attack Zoro from different angles. However, Zoro uses his Oni Giri technique, slicing Cabaji's chest and defeating him. Cabaji falls off his unicycle, and Zoro falls asleep on the ground, leaving Luffy and Buggy the only combatants left in combat.
During Zoro's battle with Cabaji, Nami breaks away from the group, instead trespassing into the pub. She takes down one of the patrolling guards and uses his key to open a treasure chest, revealing a map of the Grand Line inside.
Luffy and Buggy battle, with Buggy detaching his body parts to protect himself from Luffy's attacks. However, Buggy manages to damage Luffy's straw hat. Buggy then pierces the hat with three knives, further infuriating Luffy. After Luffy reveals the significance of the hat to Buggy, Buggy reveals that he holds a very strong grudge against Shanks, cursing his name.","Richie, Monkey D. Luffy, Chouchou, Mohji, Roronoa Zoro, Nami, Buggy, Boodle, Cabaji (Debut), Shanks (flashback), Lord of the Coast (flashback), Lucky Roux (flashback), Yasopp (flashback), Benn Beckman (flashback)",
Episode 8,"Who Will Win?
Showdown Between the True Powers of the Devil Fruit!",29-Dec-99,"Buggy reveals how Shanks foiled his plans of stealing from their crew and making a fortune. The group defeat Buggy, expelling him from the island, before departing the island themselves toward their next destination.","Buggy reveals his relationship with Shanks, as they were both apprentices working for a pirate crew. While the pirates were looting a ship, Buggy found a valuable treasure map and kept it for himself. He later learns from Shanks that the pirates have also looted a Devil Fruit from the ship. Buggy planned to steal the fruit, escape the crew and sell both the fruit and the map.
Buggy ate a fake Devil Fruit in front of the pirates while he kept the real one for himself. However, just before he was able to leave with the fruit, he was caught by Shanks, causing him to accidentally eat the fruit. Buggy also lost the treasure map as the wind blew the map overboard. Buggy, who permanently lost the ability to swim, was unable to recover the map, foiling his plans of defecting from the pirates and starting his own crew. He would need to wait another ten years to accrue the wealth needed to start his own crew.
In the present day, Buggy spots Nami attempting to leave with his treasure. Using Bara Bara Festival, Buggy splits himself up into several pieces and attempts to seize his stolen treasure. However, Luffy comes to her aid, striking him down. Buggy attempts to reassemble himself, but Nami restrains many of his body parts with a rope, leaving Buggy much smaller. Luffy then strikes the weakened Buggy with Gomu Gomu no Bazooka, sending him flying into the air and out of the town.
Nami gives Luffy the map of the Grand Line while she keeps the rest of Buggy's treasures. She agrees to temporarily sail with the crew as an opportunity to acquire Bellies. Meanwhile, the citizens of Orange Town, who had evacuated to the outskirts due to Buggy's invasion, grow increasingly concerned for their mayor's safety and decide to return to the town. However, as the group were the only pirates left in the town, they are incorrectly blamed for the destruction of the town. Luffy flees from the angry citizens.
Chouchou, aware of the crew's true intentions, stops the mob, allowing them to head to the pier to escape. Back in the town, Boodle wakes up and finds that the Buggy Pirates have been successfully repelled from the town. He goes to the pier to thank the group as they depart. To Nami's horror, Luffy leaves her treasures behind so the citizens could fund repairs for the town.
On a distant island, a mysterious man stands and awaits visitors to his land.","Roronoa Zoro, Cabaji, Monkey D. Luffy, Nami, Buggy, Boodle, Mohji, Shanks (flashback), Silvers Rayleigh (flashback), Poro, Chouchou, Tightrope Walking Funan Bros, Usopp",
Episode 9,Honorable Liar? Captain Usopp,12-Jan-00,"In search of a proper ship, Luffy, Nami, and Zoro arrive in Syrup Village, where they meet the town's notorious liar, Usopp. They decide to ask the richest girl in the village, Kaya, but are confronted by her butler, Klahadore.","The crew, who lack a ship adequate for the Grand Line, decide to stop by Syrup Village, a small island in the south, in search of a better ship.
In Syrup Village, the town prankster, Usopp, fools the townspeople into thinking pirates have come to attack the village. The townspeople chase him out of town. However, one of the children in Usopp's pretend pirate crew inform him that pirates have indeed arrived at the island. The Usopp Pirates go to the coast to confront the crew.
Usopp attempts to intimidate and repel them from the island, but all attempts fail as Luffy sees through each of his ploys. Luffy deduces that Usopp is the son of Yasopp, one of the people on Shanks' crew. After stopping at a local restaurant for food, they decide to go to the large mansion on top of the hill to ask its owners for financial support.
The lady of the mansion, Kaya, is being protected by her butler, Klahadore, following her parents' deaths. Despite Usopp being the only person to make her happy, Klahadore bars him from entering the mansion due to his reputation as a delinquent. Still, Usopp sneaks into the mansion and speaks with Kaya. The crew follow him and sneak into the mansion, but Klahadore confronts them for trespassing.
In the outskirts of the town, a peculiar man emerges, moonwalking down the road.","Usopp, Nami, Roronoa Zoro, Monkey D. Luffy, Ninjin, Piiman, Tamanegi, Yasopp, Lucky Roux (flashback), Mansion's Guards, Kaya, Kuro, Jango",
Episode 10,The World's Strongest Weirdo! Jango the Hypnotist!,19-Jan-00,"Klahadore confronts the crew and Usopp, expelling them from the mansion. However, they discover that Klahadore, whose real name is Kuro, is a pirate captain working with a hypnotist to assassinate Kaya.","Klahadore confronts the crew, refusing their request for a ship. Redirecting his rage at Usopp, he insults Usopp for his pirate father, calling him a barbaric, lowly criminal. Usopp angrily attacks Klahadore. In response, Klahadore expels Usopp and the crew from the front yard, ordering them to never return.
Kaya remains in her bedroom and cries, and Klahadore enters to console her. He explains his past and the reasoning behind his protection of her. After being expelled from the ship he was working on, he was left derelict in Syrup Village. Kaya's father kindly accepted him into his mansion, and he dedicated himself to servitude for Kaya's family. After Kaya's parents passed away, Klahadore decided to become her guardian and protect her from harm, including Usopp, whom he considers to be a bad influence on her. Kaya forgives Klahadore for his harsh handling of the situation.
Zoro and Nami remain on the outskirts of town with the children. One of the children discovers the strange moonwalking man and alerts the others. The man introduces himself as a hypnotist. He demonstrates his skills by hypnotizing the children with a chakram on a string, causing the children to fall asleep. However, he accidentally hypnotizes himself, causing him to fall asleep as well.
Usopp and Luffy sit on a cliff, where they discuss Usopp's father, Yasopp. However, they find Klahadore, who is privately meeting with the hypnotist, Jango, at the base of the cliff. To their horror, they find that Klahadore was really Captain Kuro of the Black Cat Pirates. Kuro and Jango intended to assassinate Kaya to inherit her wealth, as Jango could hypnotize Kaya into changing her will. They reveal that Kuro escaped Marine pursuit by sending a lookalike of him to the Marines for execution. Jango reveals that the Black Cat Pirates' ship was stationed at the island, ready to invade the village.
Kuro and Jango spot Luffy and Usopp overhearing their conversation. Jango hypnotizes Luffy asleep, causing him to fall headfirst off the cliff. They decide not to pursue Usopp, knowing the townspeople would not believe him if he spoke out. Usopp flees toward the village.","Usopp, Kaya, Monkey D. Luffy, Roronoa Zoro, Tamanegi, Piiman, Ninjin, Nami, Kuro, Jango, Mansion's Guards, Nugire Yainu (flashback)",
